ticker,company_name,strategy,signal_count,oos_signal_count,oos_signal_count_detected,classification,is_selected_strike_method,is_method_met_safety_target,neighbor_stable,benchmark_horizon,is_touch_pct,is_terminal_itm_pct,oos_touch_pct,oos_breach_pct,oos_terminal_itm_pct,oos_median_forward_return,oos_median_mae,oos_worst_mae,oos_avg_strike_distance_pct,avg_atr_dollars,avg_atr_pct,split_date
ITW,,Strategy1,116,34,34,Effective,OTM_7pct,True,False,25,0.3048780487804878,0.13414634146341464,0.17647058823529413,0.17647058823529413,0.14705882352941177,0.00591016420817303,-0.03538035226772279,-0.28323388491495227,0.07000000000000008,1.0246820736107567,0.0176087623373575,2010-08-02
ITW,,Strategy2,127,44,44,Effective,OTM_10pct,False,True,25,0.20481927710843373,0.1566265060240964,0.11363636363636363,0.11363636363636363,0.045454545454545456,0.0007286436177612599,-0.04562418073838581,-0.16131358574671562,0.09999999999999999,1.099866964819729,0.01944784311782001,2010-08-02
IVZ,,Strategy1,75,22,22,Not Effective,OTM_10pct,True,True,25,0.16981132075471697,0.09433962264150944,0.5,0.4090909090909091,0.2727272727272727,-0.0021145887159430554,-0.08273285875773079,-0.22297297224732593,0.09999999999999999,0.6185166858491442,0.026071954865202578,2017-05-08
IVZ,,Strategy2,63,20,20,Neutral,OTM_10pct,True,True,25,0.27906976744186046,0.09302325581395349,0.3,0.25,0.25,0.01709104589783972,-0.050295201032767356,-0.506458551455965,0.09999999999999992,0.6118707873113031,0.02707055897245288,2017-05-08
IWM,,Strategy1,61,20,21,Neutral,ATR_3,True,True,25,0.325,0.15,0.45,0.35,0.2,0.01021656362213108,-0.05050673866866101,-0.12834646673556382,0.050638862787532865,1.962365483232628,0.015333340506039468,2018-10-10
IWM,,Strategy2,58,14,15,Insufficient Data,OTM_5pct,True,True,25,0.27906976744186046,0.13953488372093023,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.021153588170045645,-0.02404513454084356,-0.33527905843210104,0.05000000000000008,2.0337685693073744,0.01731477450992126,2018-10-10
J,,Strategy1,103,40,40,Neutral,OTM_10pct,True,False,25,0.2222222222222222,0.09523809523809523,0.15,0.05,0.025,-0.007562656517100863,-0.0530051478333291,-0.1527156506212104,0.10000000000000002,0.8852965822662958,0.024273674173869,2012-09-07
J,,Strategy2,111,34,34,Effective,OTM_10pct,True,False,25,0.2857142857142857,0.1038961038961039,0.17647058823529413,0.08823529411764706,0.08823529411764706,0.03111756145982658,-0.03321375933324966,-0.18358188269698728,0.10000000000000005,0.6663073453778927,0.02415797195531419,2012-09-07
JBHT,,Strategy1,79,22,22,Neutral,ATR_3,True,True,25,0.2982456140350877,0.12280701754385964,0.4090909090909091,0.36363636363636365,0.18181818181818182,-0.028466297749404346,-0.06552463895691107,-0.18709451968146118,0.0738141621536212,1.4724259702034068,0.02853041575599438,2013-10-21
JBHT,,Strategy2,98,36,36,Effective,OTM_7pct,True,False,25,0.27419354838709675,0.14516129032258066,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.01189616155479778,-0.0496678564853944,-0.3347764559770522,0.07000000000000005,1.3477095410705657,0.027858021551380795,2013-10-21
JBL,,Strategy1,79,23,23,Neutral,ATR_3,False,True,25,0.3392857142857143,0.17857142857142858,0.43478260869565216,0.34782608695652173,0.13043478260869565,0.014542117114511921,-0.06074921660625443,-0.205731794239833,0.07766004347195687,1.3360321983075272,0.03409201988202798,2016-08-24
JBL,,Strategy2,81,25,25,Effective,ATR_3,True,False,25,0.30357142857142855,0.14285714285714285,0.32,0.32,0.04,0.047874186459446744,-0.06509710535291369,-0.12469885141880999,0.08105152496610674,1.2362364234116971,0.0356384250010768,2016-08-24
JCI,,Strategy1,100,30,31,Effective,OTM_10pct,True,True,25,0.18840579710144928,0.10144927536231885,0.1,0.03333333333333333,0.03333333333333333,0.02718047719130523,-0.03592131287927419,-0.11861785640561484,0.1,0.9699991362435476,0.020867730452720987,2014-12-16
JCI,,Strategy2,86,20,21,Effective,OTM_7pct,True,True,25,0.3230769230769231,0.09230769230769231,0.25,0.2,0.15,0.019540650727738362,-0.036112713255840145,-0.29709788413771754,0.07000000000000008,1.2287833928269805,0.023046729675136716,2014-12-16
JKHY,,Strategy1,77,27,27,Neutral,ATR_3,True,True,25,0.24,0.12,0.3333333333333333,0.25925925925925924,0.18518518518518517,-0.005283398283739027,-0.03613863283927665,-0.12165005282987607,0.050120891019787846,1.1040640869255631,0.02589235619683678,2014-05-29
JKHY,,Strategy2,96,29,29,Effective,OTM_10pct,True,False,25,0.2835820895522388,0.11940298507462686,0.13793103448275862,0.06896551724137931,0.06896551724137931,0.010843283344512678,-0.0368157563358833,-0.14254482331672325,0.09999999999999999,1.0751499605054655,0.030358556449916363,2014-05-29
JNJ,,Strategy1,143,43,43,Effective,OTM_5pct,True,False,25,0.32,0.13,0.27906976744186046,0.27906976744186046,0.13953488372093023,0.0,-0.037037024891317105,-0.15752812678086292,0.05000000000000006,0.7230365233017609,0.016322296375178073,2007-04-04
JNJ,,Strategy2,148,46,46,Neutral,ATR_3,True,True,25,0.3235294117647059,0.14705882352941177,0.4782608695652174,0.43478260869565216,0.21739130434782608,-0.0041701120417629856,-0.03559600144967512,-0.27603951158297146,0.03919525312661941,0.73218011363449,0.017190268479502165,2007-04-04
